day,avg_quality,variance,precision
160,5585.366835107074,1076950.3716350214,5.89791666666667e-05
161,5625.195775605327,1014164.0290053971,6.294444444444445e-05
162,5611.799690113287,1003186.4355772617,6.22708333333334e-05
163,5632.508454036654,1012299.0991400393,6.454166666666669e-05
164,5631.929512958821,992481.924466526,6.365972222222228e-05
165,5634.110533742188,977372.5840818173,6.339583333333338e-05
166,5615.927517493659,1014254.5953655367,6.337500000000001e-05
167,5624.20718957799,992148.2164474464,6.364583333333335e-05
168,5642.447539754021,953104.6904733242,6.563888888888891e-05
169,5637.795423274257,959404.1829164125,6.598611111111112e-05
170,5626.548880598674,980960.9806168048,6.481944444444445e-05
171,5618.907319258944,1036367.6962777249,6.571527777777781e-05
172,5624.030266608665,1016206.4748697793,6.551388888888893e-05
173,5627.828528992233,1032211.460932779,6.841666666666667e-05
174,5631.505458348222,976220.073894789,6.64236111111111e-05
175,5634.546372494723,986563.3356285177,6.79236111111111e-05
176,5653.6030039276775,926507.3394323516,6.907638888888893e-05
177,5626.964941813386,975706.5516955162,6.879861111111111e-05
178,5639.0299090282615,906339.5806575029,6.838888888888888e-05
179,5624.178343929973,1001585.8642045109,6.899305555555555e-05
180,5625.5778812624,999554.9603433333,6.93541666666667e-05
181,5621.121449872576,1014384.1724656554,6.922222222222223e-05
182,5638.876176601351,944947.8663596631,7.037499999999998e-05
183,5646.582978854975,965236.0465011623,7.372916666666666e-05
184,5617.161863680452,1021527.9525716013,7.170833333333336e-05
185,5631.459163828977,966519.4991920425,7.256249999999998e-05
186,5639.117931917583,970190.4437109914,7.281249999999997e-05
187,5590.850587183424,1064102.312420202,6.96736111111111e-05
188,5627.0895597102635,987066.9520736985,7.215972222222225e-05
189,5647.386830224796,942713.539082123,7.345833333333332e-05
190,5644.456851063563,958063.7128077637,7.485416666666663e-05
191,5653.005313243805,929097.3116076947,7.657638888888889e-05
192,5639.944314782257,980567.9920721434,7.595138888888891e-05
193,5630.090076910447,969048.4953372191,7.476388888888886e-05
194,5625.023083230277,996170.5117791465,7.662499999999998e-05
195,5655.44678752079,912895.8878427421,7.675000000000001e-05
196,5630.1644096463515,982427.6594882485,7.631249999999999e-05
197,5631.9781129707435,979189.6212556659,7.698611111111106e-05
198,5644.338588165355,970471.3026954386,7.957638888888888e-05
199,5649.197659090312,943160.9237292013,7.942361111111111e-05
200,5631.311824980246,978836.6333119791,7.765972222222221e-05
201,5651.522535782312,956511.1063104534,8.118749999999996e-05
202,5613.489347596336,1060231.6315000523,7.79930555555555e-05
203,5628.370951462026,1004213.8124309249,7.583333333333331e-05
204,5642.673236694915,964913.4335868586,7.833333333333329e-05
205,5629.672877642018,995746.0018561077,7.932638888888884e-05
206,5633.630449251984,1019600.6353415708,8.07777777777777e-05
207,5630.057587019642,993742.2204409613,8.013888888888884e-05
208,5633.899985328777,990193.8421277959,8.206249999999994e-05
209,5656.283749532416,927595.4765975242,8.161111111111109e-05
210,5624.42432908921,1014424.5745880465,8.009027777777775e-05
211,5636.457629673869,988540.8667366623,8.290277777777777e-05
212,5640.400778274106,972379.0152033733,8.363888888888885e-05
213,5663.496015474794,925459.3873605997,8.677777777777774e-05
214,5647.6503399942485,969530.8698613356,8.458333333333329e-05
215,5647.637991010023,971749.4211192481,8.420138888888887e-05
216,5659.471530412189,923801.8899817318,8.662499999999994e-05
217,5652.537344451793,922121.3463906483,8.534722222222217e-05
218,5620.971832061612,1035336.1963903554,8.541666666666664e-05
219,5657.803784252758,943571.1191698618,8.92430555555555e-05
220,5646.257754448237,966625.5354738712,8.681249999999996e-05
221,5654.079388520106,947472.0677628983,8.781249999999997e-05
222,5643.315074241928,959936.6282273695,8.630555555555556e-05
223,5647.130887779973,975787.105995634,8.954166666666667e-05
224,5666.858143364166,895081.3266772863,8.997916666666665e-05
225,5648.64321860378,931847.3129518535,8.955555555555553e-05
226,5639.018479612391,954598.457425888,9.011111111111108e-05
227,5650.94894593384,935686.6152783602,8.96666666666667e-05
228,5639.970246444752,981918.5006085824,9.08402777777778e-05
229,5628.938642351816,1004707.4087443859,8.994444444444441e-05
230,5637.236247880368,991163.6050300701,8.91597222222222e-05
231,5654.370960117976,959695.5434722999,9.177083333333334e-05
232,5647.956815193862,948518.5362630419,8.821527777777777e-05
233,5642.419600890486,963017.2240018366,9.021527777777777e-05
234,5649.485400003934,964762.9080872688,9.108333333333332e-05
235,5647.489436401975,977279.9474289886,9.272222222222222e-05
236,5640.984897386644,967449.0424702415,8.95833333333333e-05
237,5653.4964378950235,971455.3594426782,9.244444444444441e-05
238,5653.886155209851,922459.5502948529,9.160416666666665e-05
239,5646.296311060158,987906.3356288486,9.507638888888889e-05
240,5644.2812435447695,980899.6385954753,9.454166666666668e-05
241,5639.925942605514,974136.3476459358,9.27083333333333e-05
242,5680.421576084619,873075.362672775,9.784722222222218e-05
243,5658.169119362696,946203.9627317016,9.708333333333331e-05
244,5661.665103193293,934001.293109312,9.581249999999999e-05
245,5646.979627258006,963457.9199495197,9.55347222222222e-05
246,5646.644957185281,979349.3953266497,9.858333333333334e-05
247,5662.587187224475,933649.1391787515,9.953472222222217e-05
248,5652.529996073977,962694.6799740451,9.930555555555556e-05
249,5660.337882153169,945160.4970410974,0.00010059027777777777
250,5648.699317927068,945327.5331074303,9.715277777777778e-05
251,5654.960313909957,936039.9404217965,9.868055555555554e-05
252,5633.435649013707,993083.5892097756,9.78472222222222e-05
253,5658.402130609404,948304.8615319189,0.00010210416666666663
254,5634.719724320964,1001112.366408599,0.00010043749999999995
255,5648.748765082149,970851.9636555822,0.00010195138888888885
256,5666.530862442255,938677.7718299459,0.00010476388888888891
257,5662.058107862791,919916.6040304045,0.0001029444444444444
258,5665.211738545443,902429.1408160834,0.00010406944444444443
259,5644.2706257441205,971309.138445768,0.0001024236111111111
260,5666.154584391634,896254.763520142,0.00010524305555555555
261,5666.3344019434435,900441.3202268631,0.00010284722222222216
262,5641.629877932024,961566.6491062797,0.00010479861111111105
263,5658.532751645884,916631.094867372,0.00010611805555555552
264,5680.293043998208,884179.8859551491,0.0001097013888888889
265,5651.503620484739,983982.894288448,0.0001064444444444444
266,5668.05425690296,911092.8301007859,0.00010718055555555551
267,5659.1532219331,927544.3649586542,0.00010556944444444439
268,5665.673486238086,923959.3822745674,0.00011001388888888885
269,5673.070781427444,903997.6640944264,0.00010974999999999992
270,5674.292524645662,924561.8666157157,0.00011145138888888881
271,5663.307270970606,959558.2666476527,0.00011294444444444442
272,5647.754869773946,989700.0143324832,0.00010913194444444441
273,5650.592087907633,1001438.1878713062,0.00010988888888888881
274,5669.100789557103,920583.7854484178,0.00011120833333333332
275,5659.119832535888,978135.8719721083,0.00011384722222222215
276,5650.191761614147,938758.9956459887,0.00010969444444444442
277,5659.321162590387,940094.4182716709,0.0001136874999999999
278,5653.015981742572,961158.4821470771,0.00011177083333333327
279,5666.212987361139,947043.4079513204,0.00011475694444444441
280,5652.42425262921,964630.4508025533,0.00011380555555555554
281,5661.1230098676215,957009.8679361985,0.0001147430555555555
282,5663.554868037749,938302.3711464149,0.00011440277777777778
283,5671.193585919398,908396.8766346966,0.00011755555555555552
284,5658.616717179864,971611.028658667,0.00011729166666666663
285,5656.433230433522,963224.0386685547,0.00011874999999999985
286,5653.435181363739,959600.1666357215,0.00011614583333333324
287,5663.634836726166,934775.5317641441,0.00011533333333333323
288,5665.487094585048,935150.4553377336,0.00011928472222222218
289,5653.2505910475,958694.8774100845,0.00011595138888888879
290,5667.4830761159365,927757.1528900694,0.00011856249999999995
291,5667.040292224436,914864.4478163294,0.00011965277777777773
292,5654.106380989704,956395.4654246334,0.00011940972222222215
293,5665.896787256937,937833.2594239655,0.00012177777777777763
294,5659.814832201985,928755.1155316052,0.00012040277777777767
295,5663.236898180726,937513.867689664,0.00012133333333333326
296,5684.681829824311,874048.371471195,0.00012620138888888878
297,5653.908176253856,934529.1054598094,0.00012206944444444431
298,5651.235771216728,984198.8960179562,0.00012281249999999987
299,5678.934098632681,903118.1446477168,0.0001283749999999999
300,5669.16666491706,908785.4792333674,0.00012361111111111101
301,5661.571166050882,943705.3745839528,0.00012454166666666655
302,5655.010923940789,923394.8296671775,0.00012427083333333317
303,5660.81097929381,942150.3035339396,0.00012413888888888877
304,5668.118929840187,927383.330467589,0.00012638888888888877
305,5672.224151017992,932032.8512635075,0.00012997916666666654
306,5665.925015991405,923634.8008529017,0.0001291666666666666
307,5670.362360418484,909131.6711536081,0.0001298680555555555
308,5659.18455136312,928219.7446180735,0.00012618749999999992
309,5660.4621419080095,964213.4603353847,0.00013036111111111093
310,5656.716647734757,962495.1802250302,0.00012749305555555544
311,5674.495337990502,932596.7303432258,0.00013290972222222217
312,5666.927255703723,943147.6361643076,0.00013025694444444434
313,5662.853606916371,949871.2224168797,0.0001309305555555554
314,5673.461570922681,900814.3339969163,0.00013351388888888877
315,5664.263865743719,925286.5986216428,0.00012952083333333324
316,5642.545526556338,1020308.4432711833,0.000132236111111111
317,5671.461281953392,915149.7253510293,0.0001348402777777777
318,5671.5684022758805,917833.5011687782,0.00013479861111111098
319,5667.624324759468,915141.835120047,0.00013538888888888886
320,5675.227942555927,897303.3263131396,0.00013514583333333323
321,5658.374099438408,951838.2326263319,0.00013569444444444433
322,5663.607280088631,921289.1399809646,0.00013452777777777766
323,5680.0111545614855,899591.663163718,0.00013988888888888883
324,5674.763037202811,885578.1064165364,0.00013819444444444434
325,5663.1732123099555,946099.7378338457,0.00013900694444444437
326,5652.589779652264,963756.2010601636,0.0001339513888888888
327,5648.5823904475255,972034.9910093191,0.00013689583333333327
328,5674.520529405625,914954.6484827301,0.0001434166666666666
329,5677.882278805654,917892.8641115365,0.00014476388888888883
330,5670.889126513145,897851.902675041,0.00014206944444444434
331,5670.122921054612,917193.0611177986,0.00013954166666666658
332,5660.463067898515,952833.80711408,0.00013955555555555547
333,5655.135896951963,939219.1232943186,0.00013641666666666666
334,5677.408649701136,888927.3272758379,0.00014154861111111104
335,5670.911927116984,985056.9086029486,0.00013749999999999995
336,5673.664737324624,940903.9492001908,0.00013559027777777772
337,5692.442677131285,946881.6726621197,0.00014225694444444442
338,5692.052971107781,924314.0597722783,0.00014020833333333328
339,5692.997658794124,939194.2801061961,0.00014365972222222221
340,5676.585751859949,955864.5256827984,0.00013814583333333336
341,5702.218468246442,904727.5944399877,0.0001455347222222222
342,5682.443322467033,963621.4010848181,0.0001442569444444444
343,5692.022095975278,957596.343702684,0.0001408194444444444
344,5678.758960183743,982392.2533378751,0.0001402291666666666
345,5686.235317908523,933770.9622164745,0.00013974999999999998
346,5696.917272178468,936927.332480561,0.000145125
347,5684.302222910882,967339.250807605,0.0001431944444444444
348,5697.301179905292,948647.3979045075,0.00014620138888888888
349,5680.936318619633,964085.8550464851,0.00014322222222222218
350,5670.503748524002,1027244.8963231222,0.00014311111111111108
351,5690.5868316009455,939481.0203295123,0.00014470138888888885
352,5694.805865490771,954785.8219067821,0.00014629861111111104
353,5698.197243942192,936342.8043700032,0.00014590972222222224
354,5696.206011397943,937590.1056371784,0.0001484444444444444
355,5686.277408140728,959554.9749818958,0.00014223611111111105
356,5702.009897507776,931637.7824041664,0.0001514861111111111
357,5681.070819774723,1008413.7306409221,0.00014674305555555556
358,5701.524496674809,933622.848028891,0.0001534374999999999
359,5694.945461521072,931905.826933331,0.00015286111111111107
360,5696.074521830366,935368.8884564714,0.0001509444444444444
361,5695.698917449045,965198.4143481087,0.00015523611111111112
362,5683.261058217089,959089.3947722286,0.00014936111111111104
363,5699.780229731803,919163.1417399748,0.00015033333333333332
364,5691.534947034316,945824.3268506924,0.00014741666666666663
365,5684.722800922223,963648.7044844767,0.0001505347222222222
366,5699.709409189609,925179.7409859803,0.0001555069444444444
367,5705.574187484158,908561.2476371079,0.00015981249999999988
368,5698.090421333216,937356.6110683313,0.00015642361111111103
369,5685.145530803378,976338.12207917,0.00015384722222222224
370,5688.882890594038,963860.8836720157,0.00015599999999999992
371,5675.344953090794,977806.1792640513,0.00015033333333333324
